DATE,CSUSHPISA,Year,Month,Per_Capita_GDP,Working_Population,Houses,CPI,UNRATE,Cons_Materials,FEDFUNDS,Num_Households,Income,Subsidy,old_percent
2021-03-01,245.545,2021,3,63843.333333333336,205101500.0,4.3,264.91,6.1,276.7,0.07,129224.0,76330,45.299,16.6788954868121
2021-04-01,249.123,2021,4,64153.0,205468000.0,4.6,266.752,6.1,291.8,0.07,129224.0,76330,45.299,16.6788954868121
2021-05-01,253.413,2021,5,64305.666666666664,205665700.0,5.5,268.452,5.8,305.9,0.06,129224.0,76330,45.299,16.6788954868121
2021-06-01,258.23,2021,6,64458.333333333336,205415500.0,6.0,270.664,5.9,315.7,0.08,129224.0,76330,45.299,16.6788954868121
2021-07-01,262.603,2021,7,64611.0,205317400.0,6.0,271.994,5.4,313.542,0.1,129224.0,76330,45.299,16.6788954868121
2021-08-01,266.593,2021,8,64956.666666666664,205311600.0,6.5,272.789,5.1,313.083,0.09,129224.0,76330,45.299,16.6788954868121
2021-09-01,270.197,2021,9,65302.333333333336,205475500.0,6.2,273.887,4.7,317.136,0.08,129224.0,76330,45.299,16.6788954868121
2021-10-01,273.603,2021,10,65648.0,205337300.0,6.7,276.434,4.5,322.12,0.08,129224.0,76330,45.299,16.6788954868121
2021-11-01,277.309,2021,11,65526.666666666664,205361800.0,5.9,278.799,4.1,328.94,0.08,129224.0,76330,45.299,16.6788954868121
2021-12-01,281.506,2021,12,65405.333333333336,205323500.0,5.6,280.808,3.9,335.032,0.08,129224.0,76330,45.299,16.6788954868121
2022-01-01,286.173,2022,1,65284.0,207063100.0,5.9,282.39,4.0,345.742,0.08,131202.0,74580,48.021,17.1281205454528
